name cat d_as RV eRV
J000000.00-000000.0 Dummy1 0.0 10.0 0.5
J000000.00-000000.0 Dummy1 0.0 10.2 0.4
J000000.00-000000.0 Dummy1 0.0 10.3 0.5
J000000.00-000000.0 Dummy1 0.0 10.1 0.3
J000000.00-000000.0 Dummy1 0.0 10.5 0.5
J000000.00-000000.0 Dummy1 0.0 1000.0 0.5

J000453.05-103220.0 LauraRV 0.0 7.7 13.4
J001527.62-641455.2 I/345/gaia2 0.703 6.08 1.36
J001527.62-641455.2 III/283/ravedr6 0.81 6.77 2.94
J001527.62-641455.2 J/AJ/147/146/stars 0.94 6.7 0.3
J001527.62-641455.2 LauraRV 0.0 6.3 0.9
J001536.79-294601.2 III/283/ravedr6 1.423 0.05 4.7
J001536.79-294601.2 J/A+A/649/A6/table1c 0.952 0.018 4.842
J001536.79-294601.2 J/AJ/157/234/table2 1.48 0.61 1.31
J001536.79-294601.2 Sept_14_Alex_RV  0.0  0.984 0.704
J001536.79-294601.2 LauraRV 0.0 -28.8 4.9
J001552.28-280749.4 I/345/gaia2 0.519 -0.44 0.65
J001552.28-280749.4 III/283/ravedr6 0.578 6.99 2.03
J001555.65-613752.2 J/AJ/147/146/stars 0.7 19.9 0.7
J001709.96+185711.8 I/345/gaia2 0.243 33.13 0.73
J001709.96+185711.8 LauraRV 0.0 32.7 1
J001723.69-664512.4 echelle_dec13  0.0  11.42 0.81
J001723.69-664512.4 I/345/gaia2 0.751 8.75 1.09
J001723.69-664512.4 III/283/ravedr6 0.878 974.68 9.31
J001723.69-664512.4 J/AJ/147/85/table4 0.975 11.4 0.8
J001723.69-664512.4 J/AJ/154/129/catalog 0.9 10.7 0.2
J001723.69-664512.4 J/ApJ/840/87/targets 0.84 -4.84 5.64
J002101.27-134230.7 III/283/ravedr6 1.897 1.25 0.81
J003057.97-655006.4 J/AJ/147/146/stars 0.94 13.6 0.9
J003057.97-655006.4 Sept_14_Alex_RV  0.0  7.164 2.48
J003234.86+072926.4 III/198/main 0.63 2.4 0.9
J003234.86+072926.4 LauraRV 0.0 -4.6 0.7
J003903.51+133016.0 LauraRV 0.0 -7 1.5
J004210.98-425254.8 I/345/gaia2 0.783 6.63 0.75
J004210.98-425254.8 J/AJ/147/146/stars 0.72 8.7 0.1
J004210.98-425254.8 Sept_14_Alex_RV  0.0  6.919 0.543
J004524.84-775207.5 III/283/ravedr6 2.193 4.04 2.7
J004524.84-775207.5 III/283/xgaia2 2.028 6.14 1.04
J004524.84-775207.5 LauraRV 0.0 3.6 2.1
J004528.25-513734.4 I/345/gaia2 0.791 8.2 1.56
J004528.25-513734.4 J/ApJ/840/87/targets 0.99 -0.72 4.89
J004528.25-513734.4 LauraRV 0.0 -8 1.3
J004528.25-513734.4 V/137D/XHIP 2.001 -1.6 10.0
J004826.70-184720.7 J/A+A/649/A6/table1c 0.854 7.21 0.68
J004826.70-184720.7 LauraRV 0.0 5.6 1.4
J005633.96-225545.4 I/345/gaia2 0.499 16.34 7.15
J010126.59+463832.6 I/345/gaia2 0.273 -86.5 14.94
J010243.86-623534.8 III/283/ravedr6 0.807 11.25 6.3
J010243.86-623534.8 J/AJ/147/146/stars 0.85 7.0 2.0
J010251.05+185653.7 J/A+A/649/A6/table1c 0.815 19.749 2.937
J010629.32-122518.4 LauraRV 0.0 2.7 1.5
J010711.99-193536.4 III/283/ravedr6 0.823 9.58 3.9
J010711.99-193536.4 J/AJ/147/146/stars 0.88 9.3 0.5
J010711.99-193536.4 J/AJ/154/129/catalog 0.8 11.5 1.4
J010711.99-193536.4 LauraRV 0.0 7.1 1.1
J011846.91+125831.4 I/345/gaia2 0.183 -5.59 3.8
J012118.22-543425.1 III/283/ravedr6 0.924 26.43 1.48
J012118.22-543425.1 J/AJ/147/146/stars 0.98 24.0 0.3
J012118.22-543425.1 LauraRV 0.0 25.8 1.3
J012245.24-631845.0 J/AJ/147/146/stars 0.95 7.8 1.4
J012245.24-631845.0 LauraRV 0.0 18.3 5.3
J012332.89-411311.4 J/AJ/147/146/stars 1.09 5.7 1.4
J012532.11-664602.6 J/AJ/147/146/stars 0.93 7.1 5.1
J013110.69-760947.7 III/283/ravedr6 0.558 29.0 5.97
J013110.69-760947.7 Sept_14_Alex_RV  0.0  28.282 0.618
J014156.94-123821.6 I/345/gaia2 0.427 13.36 1.12
J015057.01-584403.4 III/283/ravedr6 0.949 11.43 6.45
J015057.01-584403.4 J/AJ/147/146/stars 1.03 11.1 0.5
J015057.01-584403.4 LauraRV 0.0 9.3 1.5
J015257.41+083326.3 J/other/RAA/15.1182/dr1mcat 1.007 -4.206 23.6
J015350.81-145950.6 III/283/ravedr6 0.668 1.26 4.4
J015350.81-145950.6 J/AJ/154/69/table4 0.59 10.5 0.4
J015350.81-145950.6 J/MNRAS/475/1960/tablea6 0.59 10.34 11.8
J015455.24-295746.0 LauraRV 0.0 37.7 2
J020012.84-084052.4 J/AJ/147/146/stars 1.33 4.5 0.4
J020012.84-084052.4 J/MNRAS/475/1960/tablea6 1.05 4.58 27.3
J020012.84-084052.4 LauraRV 0.0 5.5 1.4
J020805.55-474633.7 echelle_dec13  0.0  4.82 0.74
J020805.55-474633.7 I/345/gaia2 0.482 2.77 0.77
J021258.28-585118.3 I/345/gaia2 0.68 10.22 2.09
J021258.28-585118.3 III/283/ravedr6 0.623 -5.73 13.39
J021258.28-585118.3 J/AJ/147/146/stars 0.7 9.1 0.8
J021258.28-585118.3 J/ApJ/840/87/targets 0.7 4.45 5.0
J021258.28-585118.3 Sept_14_Alex_RV  0.0  8.382 1.906
J021330.24-465450.3 III/283/ravedr6 0.205 1.17 4.64
J021330.24-465450.3 J/AJ/157/234/table2 0.36 10.33 1.02
J021330.24-465450.3 J/ApJ/840/87/targets 0.34 9.36 6.0
J022240.88+305515.4 J/A+A/649/A6/table1c 0.727 42.359 4.81
J022424.69-703321.2 J/AJ/147/146/stars 0.79 11.8 0.3
J022424.69-703321.2 Sept_14_Alex_RV  0.0  12.485 1.225
J023005.14+284500.0 I/345/gaia2 0.812 -26.16 1.07
J023139.36+445638.1 J/ApJ/758/56/mdwarfs 1.21 -4.7 3.8
J024552.65+052923.8 I/345/gaia2 0.571 6.77 1.55
J024746.49-580427.4 I/345/gaia2 0.635 11.17 1.1
J024746.49-580427.4 III/283/ravedr6 0.772 5.43 2.83
J024746.49-580427.4 J/AJ/147/146/stars 0.81 13.1 0.5
